inquiry_id,product_id,lang,text,true_theme
Q00000,P0429,en,Is the material BPA-free?,feature
Q00001,P0487,en,Can you share the technical spec sheet?,feature
Q00002,P0064,zh,能发一下技术参数表吗?,feature
Q00003,P0463,en,Can you guarantee delivery before December 15?,delivery
Q00004,P0221,zh,能发一下技术参数表吗?,feature
Q00005,P0031,zh,首次合作能给9折吗?,price
Q00006,P0379,zh,这个产品支持IPX7防水吗?,feature
Q00007,P0446,zh,支持DDP发到美国吗?,delivery
Q00008,P0233,en,Is the material BPA-free?,feature
Q00009,P0341,en,The price seems high compared to similar products.,price
Q00010,P0162,zh,材料是否不含BPA?,feature
Q00011,P0094,en,Is air freight available for urgent orders?,delivery
Q00012,P0113,en,Is the price negotiable for 500 units?,price
Q00013,P0416,en,Does this product support waterproof IPX7?,feature
Q00014,P0416,en,Does it come with a CE certification?,feature
Q00015,P0144,en,What's the warranty period?,feature
Q00016,P0099,en,Does it come with a CE certification?,feature
Q00017,P0332,zh,和同类产品相比价格偏高。,price
Q00018,P0229,zh,能发一下技术参数表吗?,feature
Q00019,P0057,en,What is the battery capacity?,feature
Q00020,P0282,en,What's the warranty period?,feature
Q00021,P0276,zh,能发一下技术参数表吗?,feature
Q00022,P0015,en,Can you share the technical spec sheet?,feature
Q00023,P0204,en,Can you guarantee delivery before December 15?,delivery
Q00024,P0029,en,Can you change the box design to our brand?,customization
Q00025,P0330,en,"Your competitor offers $X less, can you match it?",price
Q00026,P0332,zh,保修期多久?,feature
Q00027,P0083,zh,能保证12月15号前到货吗?,delivery
Q00028,P0361,en,The price seems high compared to similar products.,price
Q00029,P0250,en,Will the order arrive before Chinese New Year?,delivery
Q00030,P0223,zh,"你们竞争对手报价更低,能否匹配?",price
Q00031,P0315,en,Is air freight available for urgent orders?,delivery
Q00032,P0059,en,Do you support DDP shipping to the US?,delivery
Q00033,P0349,zh,颜色可以定制吗?,customization
Q00034,P0389,zh,最低起订量多少才能拿到折扣?,price
Q00035,P0136,en,Does it come with a CE certification?,feature
Q00036,P0227,zh,大批量采购可以给个更好的价格吗?,price
Q00037,P0289,en,The price seems high compared to similar products.,price
Q00038,P0379,zh,大批量采购可以给个更好的价格吗?,price
Q00039,P0313,en,What is the battery capacity?,feature
Q00040,P0042,zh,能发一下技术参数表吗?,feature
Q00041,P0246,en,Can you guarantee delivery before December 15?,delivery
Q00042,P0051,en,Do you have any promotional pricing this month?,price
Q00043,P0462,en,What is the battery capacity?,feature
Q00044,P0295,en,Can you share the technical spec sheet?,feature
Q00045,P0241,zh,500件的话价格能再优惠吗?,price
Q00046,P0243,en,What is the battery capacity?,feature
Q00047,P0285,zh,发到德国需要多久?,delivery
Q00048,P0165,en,Will the order arrive before Chinese New Year?,delivery
Q00049,P0010,en,Can you guarantee delivery before December 15?,delivery
Q00050,P0070,zh,能发一下技术参数表吗?,feature
Q00051,P0336,en,Can you share the technical spec sheet?,feature
Q00052,P0363,zh,和同类产品相比价格偏高。,price
Q00053,P0458,en,Can you share the technical spec sheet?,feature
Q00054,P0277,en,Can you offer a better price for bulk orders?,price
Q00055,P0404,zh,支持DDP发到美国吗?,delivery
Q00056,P0145,zh,这个月有促销价吗?,price
Q00057,P0468,en,Will the order arrive before Chinese New Year?,delivery
Q00058,P0217,en,Is the price negotiable for 500 units?,price
Q00059,P0374,zh,包装上能加我们的logo吗?,customization
Q00060,P0259,zh,包装上能加我们的logo吗?,customization
Q00061,P0330,zh,500件的话价格能再优惠吗?,price
Q00062,P0373,en,Is air freight available for urgent orders?,delivery
Q00063,P0120,zh,首次合作能给9折吗?,price
Q00064,P0076,zh,首次合作能给9折吗?,price
Q00065,P0437,zh,和同类产品相比价格偏高。,price
Q00066,P0388,en,Any chance of a 10% discount for first-time buyers?,price
Q00067,P0071,zh,颜色可以定制吗?,customization
Q00068,P0065,en,What is the minimum order quantity to get a discount?,price
Q00069,P0253,en,What is the battery capacity?,feature
Q00070,P0099,zh,材料是否不含BPA?,feature
Q00071,P0369,zh,这个产品支持IPX7防水吗?,feature
Q00072,P0463,en,"Your competitor offers $X less, can you match it?",price
Q00073,P0244,en,How long is the shipping time to Germany?,delivery
Q00074,P0143,zh,能发一下技术参数表吗?,feature
Q00075,P0277,en,Is private label packaging available?,customization
Q00076,P0070,en,Does it come with a CE certification?,feature
Q00077,P0298,zh,发到德国需要多久?,delivery
Q00078,P0233,zh,颜色可以定制吗?,customization
Q00079,P0054,en,Can you share the technical spec sheet?,feature
Q00080,P0116,zh,材料是否不含BPA?,feature
Q00081,P0433,zh,春节前能到货吗?,delivery
Q00082,P0187,en,Does this product support waterproof IPX7?,feature
Q00083,P0433,zh,春节前能到货吗?,delivery
Q00084,P0118,en,Can you guarantee delivery before December 15?,delivery
Q00085,P0052,zh,保修期多久?,feature
Q00086,P0073,zh,500件的话价格能再优惠吗?,price
Q00087,P0071,en,What's the warranty period?,feature
Q00088,P0142,en,Can we add our logo on the packaging?,customization
Q00089,P0010,en,"Your competitor offers $X less, can you match it?",price
Q00090,P0026,en,The price seems high compared to similar products.,price
Q00091,P0196,zh,有CE认证吗?,feature
Q00092,P0437,zh,和同类产品相比价格偏高。,price
Q00093,P0090,en,Can the color be customized?,customization
Q00094,P0285,en,Do you have any promotional pricing this month?,price
Q00095,P0186,en,How long is the shipping time to Germany?,delivery
Q00096,P0416,en,How long is the shipping time to Germany?,delivery
Q00097,P0049,zh,这个月有促销价吗?,price
